epoch_a,epoch_b,n_samples,cka_value
26,180,2040,0.732682
26,190,2040,0.737908
26,200,2040,0.738497
28,28,2040,1.0
28,30,2040,0.743866
28,35,2040,0.827192
28,40,2040,0.79369
28,45,2040,0.833485
28,50,2040,0.774994
28,60,2040,0.817329
28,70,2040,0.817904
28,80,2040,0.82847
28,90,2040,0.829554
28,100,2040,0.804472
28,110,2040,0.813117
28,120,2040,0.785558
28,130,2040,0.77296
28,140,2040,0.765828
28,150,2040,0.736486
28,160,2040,0.737249
28,170,2040,0.733698
28,180,2040,0.742044
28,190,2040,0.745852
28,200,2040,0.747438
30,30,2040,1.0
30,35,2040,0.722651
30,40,2040,0.651232
30,45,2040,0.794643
30,50,2040,0.796567
30,60,2040,0.737781
30,70,2040,0.774338
30,80,2040,0.696813
30,90,2040,0.714132
30,100,2040,0.763232
30,110,2040,0.722892
30,120,2040,0.717754
30,130,2040,0.674895
30,140,2040,0.711262
30,150,2040,0.648881
30,160,2040,0.656723
30,170,2040,0.6589
30,180,2040,0.671141
30,190,2040,0.667367
30,200,2040,0.673001
35,35,2040,1.0
35,40,2040,0.736606
35,45,2040,0.817274
35,50,2040,0.76648
35,60,2040,0.807622
35,70,2040,0.812975
35,80,2040,0.795742
35,90,2040,0.791426
35,100,2040,0.787249
35,110,2040,0.82109
35,120,2040,0.783813
35,130,2040,0.762374
35,140,2040,0.756263
35,150,2040,0.736309
35,160,2040,0.735861
35,170,2040,0.727116
35,180,2040,0.733916
35,190,2040,0.736063
35,200,2040,0.73572
40,40,2040,1.0
40,45,2040,0.752108
40,50,2040,0.699657
40,60,2040,0.768178
40,70,2040,0.74188
40,80,2040,0.828749
40,90,2040,0.822632
40,100,2040,0.770043
40,110,2040,0.76602
40,120,2040,0.711531
40,130,2040,0.729596
40,140,2040,0.706848
40,150,2040,0.702367
40,160,2040,0.691047
40,170,2040,0.68651
40,180,2040,0.696929
40,190,2040,0.697718
40,200,2040,0.70125
45,45,2040,1.0
45,50,2040,0.814143
45,60,2040,0.815828
45,70,2040,0.834162
45,80,2040,0.820506
45,90,2040,0.814516
45,100,2040,0.8253
45,110,2040,0.831915
45,120,2040,0.807889
45,130,2040,0.774828
45,140,2040,0.786254
45,150,2040,0.742462
45,160,2040,0.744436
45,170,2040,0.746679
45,180,2040,0.753054
45,190,2040,0.755044
45,200,2040,0.756986
50,50,2040,1.0
50,60,2040,0.766625
50,70,2040,0.80998
50,80,2040,0.764195
50,90,2040,0.764521
50,100,2040,0.794803
50,110,2040,0.799444
50,120,2040,0.771698
50,130,2040,0.748969
50,140,2040,0.772312
50,150,2040,0.732203
50,160,2040,0.719775
50,170,2040,0.73342
50,180,2040,0.741881
50,190,2040,0.740301
50,200,2040,0.744575
60,60,2040,1.0
60,70,2040,0.832012
60,80,2040,0.817028
60,90,2040,0.835955
60,100,2040,0.816634
60,110,2040,0.81877
60,120,2040,0.8139
60,130,2040,0.796582
60,140,2040,0.777316
60,150,2040,0.763048
60,160,2040,0.764603
60,170,2040,0.754987
60,180,2040,0.765211
60,190,2040,0.763998
60,200,2040,0.767005
70,70,2040,1.0
70,80,2040,0.793464
70,90,2040,0.825335
70,100,2040,0.814811
70,110,2040,0.840279
70,120,2040,0.83918
70,130,2040,0.791279
70,140,2040,0.811145
70,150,2040,0.782527
70,160,2040,0.781677
70,170,2040,0.77482
70,180,2040,0.783051
70,190,2040,0.783452
70,200,2040,0.786577
80,80,2040,1.0
80,90,2040,0.851132
80,100,2040,0.831453
